"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920205","1.1.4","11.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920206","2.1.1","569.3","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920207","2.1.2","484.7","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920208","2.1.3","203.5","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920209","2.1.4","14.9","","","","1"
"2013","Prince Edward Island","2016A000211","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920210","3.1.1","20.2","","","","1"
"2013","Prince Edward Island","2016A000211","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920211","3.1.2","17.7","","","","1"
"2013","Prince Edward Island","2016A000211","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920212","3.1.3","","x","","","1"
"2013","Prince Edward Island","2016A000211","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920213","3.1.4","12.5","","","","1"
"2013","Nova Scotia","2016A000212","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920214","4.1.1","378.9","","","","1"
"2013","Nova Scotia","2016A000212","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920215","4.1.2","338.8","","","","1"
"2013","Nova Scotia","2016A000212","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920216","4.1.3","176.2","","","","1"
"2013","Nova Scotia","2016A000212","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920217","4.1.4","10.6","","","","1"
"2013","New Brunswick","2016A000213","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920218","5.1.1","229.9","","","","1"
"2013","New Brunswick","2016A000213","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920219","5.1.2","213.5","","","","1"
"2013","New Brunswick","2016A000213","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920220","5.1.3","123.8","","","","1"
"2013","New Brunswick","2016A000213","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920221","5.1.4","7.1","","","","1"
"2013","Quebec","2016A000224","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920222","6.1.1","4035.3","","","","1"
"2013","Quebec","2016A000224","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920223","6.1.2","3888.1","","","","1"
"2013","Quebec","2016A000224","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920224","6.1.3","2020.8","","","","1"
"2013","Quebec","2016A000224","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920225","6.1.4","3.6","","","","1"
"2013","Ontario","2016A000235","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920226","7.1.1","7438.3","","","","1"
"2013","Ontario","2016A000235","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920227","7.1.2","6757.3","","","","1"
"2013","Ontario","2016A000235","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920228","7.1.3","3280.8","","","","1"
"2013","Ontario","2016A000235","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920229","7.1.4","9.2","","","","1"
"2013","Manitoba","2016A000246","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920230","8.1.1","397.1","","","","1"
"2013","Manitoba","2016A000246","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920231","8.1.2","343.0","","","","1"
"2013","Manitoba","2016A000246","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920232","8.1.3","186.2","","","","1"
"2013","Manitoba","2016A000246","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920233","8.1.4","13.6","","","","1"
"2013","Saskatchewan","2016A000247","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920234","9.1.1","1584.1","","","","1"
"2013","Saskatchewan","2016A000247","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920235","9.1.2","1178.3","","","","1"
"2013","Saskatchewan","2016A000247","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920236","9.1.3","309.1","","","","1"
"2013","Saskatchewan","2016A000247","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920237","9.1.4","25.6","","","","1"
"2013","Alberta","2016A000248","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920238","10.1.1","13361.9","","","","1"
"2013","Alberta","2016A000248","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920239","10.1.2","11698.9","","","","1"
"2013","Alberta","2016A000248","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920240","10.1.3","3586.7","","","","1"
"2013","Alberta","2016A000248","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920241","10.1.4","12.4","","","","1"
"2013","British Columbia","2016A000259","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920242","11.1.1","4174.2","","","","1"
"2013","British Columbia","2016A000259","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920243","11.1.2","3741.9","","","","1"
"2013","British Columbia","2016A000259","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920244","11.1.3","1724.0","","","","1"
"2013","British Columbia","2016A000259","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920245","11.1.4","10.4","","","","1"
"2013","Yukon","2016A000260","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920246","12.1.1","39.8","","","","1"
"2013","Yukon","2016A000260","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920247","12.1.2","36.4","","","","1"
"2013","Yukon","2016A000260","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920248","12.1.3","10.7","","","","1"
"2013","Yukon","2016A000260","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920249","12.1.4","8.3","","","","1"
"2013","Northwest Territories","2016A000261","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920250","13.1.1","36.9","","","","1"
"2013","Northwest Territories","2016A000261","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920251","13.1.2","29.4","","","","1"
"2013","Northwest Territories","2016A000261","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920252","13.1.3","13.9","","","","1"
"2013","Northwest Territories","2016A000261","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920253","13.1.4","20.3","","","","1"
"2013","Nunavut","2016A000262","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920254","14.1.1","5.6","","","","1"
"2013","Nunavut","2016A000262","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920255","14.1.2","3.7","","","","1"
"2013","Nunavut","2016A000262","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920256","14.1.3","","x","","","1"
"2013","Nunavut","2016A000262","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920257","14.1.4","33.4","","","","1"
"2014","Canada","2016A000011124","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920202","1.1.1","33100.3","","","","1"
"2014","Canada","2016A000011124","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920203","1.1.2","28906.7","","","","1"
"2014","Canada","2016A000011124","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920204","1.1.3","12063.7","","","","1"
"2014","Canada","2016A000011124","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920205","1.1.4","12.7","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920206","2.1.1","587.0","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920207","2.1.2","490.5","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920208","2.1.3","219.9","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920209","2.1.4","16.4","","","","1"
"2014","Prince Edward Island","2016A000211","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920210","3.1.1","20.8","","","","1"
"2014","Prince Edward Island","2016A000211","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920211","3.1.2","15.2","","","","1"
"2014","Prince Edward Island","2016A000211","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920212","3.1.3","","x","","","1"
"2014","Prince Edward Island","2016A000211","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920213","3.1.4","27.1","","","","1"
"2014","Nova Scotia","2016A000212","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920214","4.1.1","352.7","","","","1"
"2014","Nova Scotia","2016A000212","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920215","4.1.2","289.4","","","","1"
"2014","Nova Scotia","2016A000212","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920216","4.1.3","155.6","","","","1"
"2014","Nova Scotia","2016A000212","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920217","4.1.4","18.0","","","","1"
"2014","New Brunswick","2016A000213","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920218","5.1.1","267.5","","","","1"
"2014","New Brunswick","2016A000213","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920219","5.1.2","251.8","","","","1"
"2014","New Brunswick","2016A000213","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920220","5.1.3","125.9","","","","1"
"2014","New Brunswick","2016A000213","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920221","5.1.4","5.9","","","","1"
"2014","Quebec","2016A000224","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920222","6.1.1","4018.1","","","","1"
"2014","Quebec","2016A000224","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920223","6.1.2","3605.0","","","","1"
"2014","Quebec","2016A000224","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920224","6.1.3","1897.9","","","","1"
"2014","Quebec","2016A000224","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920225","6.1.4","10.3","","","","1"
"2014","Ontario","2016A000235","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920226","7.1.1","7361.4","","","","1"
"2014","Ontario","2016A000235","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920227","7.1.2","6576.2","","","","1"
"2014","Ontario","2016A000235","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920228","7.1.3","3399.7","","","","1"
"2014","Ontario","2016A000235","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920229","7.1.4","10.7","","","","1"
"2014","Manitoba","2016A000246","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920230","8.1.1","405.8","","","","1"
"2014","Manitoba","2016A000246","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920231","8.1.2","359.8","","","","1"
"2014","Manitoba","2016A000246","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920232","8.1.3","191.5","","","","1"
"2014","Manitoba","2016A000246","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920233","8.1.4","11.3","","","","1"
"2014","Saskatchewan","2016A000247","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920234","9.1.1","1757.7","","","","1"
"2014","Saskatchewan","2016A000247","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920235","9.1.2","1071.1","","","","1"
"2014","Saskatchewan","2016A000247","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920236","9.1.3","300.3","","","","1"
"2014","Saskatchewan","2016A000247","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920237","9.1.4","39.1","","","","1"
"2014","Alberta","2016A000248","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920238","10.1.1","14307.1","","","","1"
"2014","Alberta","2016A000248","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920239","10.1.2","12789.6","","","","1"
"2014","Alberta","2016A000248","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920240","10.1.3","3940.7","","","","1"
"2014","Alberta","2016A000248","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920241","10.1.4","10.6","","","","1"
"2014","British Columbia","2016A000259","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920242","11.1.1","3921.2","","","","1"
"2014","British Columbia","2016A000259","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920243","11.1.2","3375.3","","","","1"
"2014","British Columbia","2016A000259","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920244","11.1.3","1803.0","","","","1"
"2014","British Columbia","2016A000259","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920245","11.1.4","13.9","","","","1"
"2014","Yukon","2016A000260","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920246","12.1.1","52.8","","","","1"
"2014","Yukon","2016A000260","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920247","12.1.2","48.7","","","","1"
"2014","Yukon","2016A000260","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920248","12.1.3","11.2","","","","1"
"2014","Yukon","2016A000260","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920249","12.1.4","7.8","","","","1"
"2014","Northwest Territories","2016A000261","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920250","13.1.1","44.2","","","","1"
"2014","Northwest Territories","2016A000261","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920251","13.1.2","32.3","","","","1"
"2014","Northwest Territories","2016A000261","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920252","13.1.3","9.8","","","","1"
"2014","Northwest Territories","2016A000261","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920253","13.1.4","27.1","","","","1"
"2014","Nunavut","2016A000262","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920254","14.1.1","3.9","","","","1"
"2014","Nunavut","2016A000262","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920255","14.1.2","1.9","","","","1"
"2014","Nunavut","2016A000262","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920256","14.1.3","","x","","","1"
"2014","Nunavut","2016A000262","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920257","14.1.4","51.1","","","","1"
"2015","Canada","2016A000011124","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920202","1.1.1","30806.8","","","","1"
"2015","Canada","2016A000011124","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920203","1.1.2","28041.1","","","","1"
"2015","Canada","2016A000011124","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920204","1.1.3","12232.7","","","","1"
"2015","Canada","2016A000011124","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920205","1.1.4","9.0","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920206","2.1.1","647.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920207","2.1.2","541.1","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920208","2.1.3","260.6","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920209","2.1.4","16.5","","","","1"
"2015","Prince Edward Island","2016A000211","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920210","3.1.1","","x","","","1"
"2015","Prince Edward Island","2016A000211","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920211","3.1.2","","x","","","1"
"2015","Prince Edward Island","2016A000211","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920212","3.1.3","","x","","","1"
"2015","Prince Edward Island","2016A000211","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920213","3.1.4","","x","","","1"
"2015","Nova Scotia","2016A000212","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920214","4.1.1","386.3","","","","1"
"2015","Nova Scotia","2016A000212","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920215","4.1.2","333.3","","","","1"
"2015","Nova Scotia","2016A000212","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920216","4.1.3","174.6","","","","1"
"2015","Nova Scotia","2016A000212","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920217","4.1.4","13.7","","","","1"
"2015","New Brunswick","2016A000213","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920218","5.1.1","286.4","","","","1"
"2015","New Brunswick","2016A000213","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920219","5.1.2","256.6","","","","1"
"2015","New Brunswick","2016A000213","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920220","5.1.3","123.7","","","","1"
"2015","New Brunswick","2016A000213","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920221","5.1.4","10.4","","","","1"
"2015","Quebec","2016A000224","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920222","6.1.1","4526.3","","","","1"
"2015","Quebec","2016A000224","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920223","6.1.2","4234.7","","","","1"
"2015","Quebec","2016A000224","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920224","6.1.3","2223.9","","","","1"
"2015","Quebec","2016A000224","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920225","6.1.4","6.4","","","","1"
"2015","Ontario","2016A000235","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920226","7.1.1","7854.9","","","","1"
"2015","Ontario","2016A000235","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920227","7.1.2","7092.6","","","","1"
"2015","Ontario","2016A000235","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920228","7.1.3","3447.0","","","","1"
"2015","Ontario","2016A000235","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920229","7.1.4","9.7","","","","1"
"2015","Manitoba","2016A000246","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920230","8.1.1","474.3","","","","1"
